北京卫视 HD,rtp://239.11.0.121:5140
咪咕视频 HD,rtp://239.11.0.122:5140
天津卫视 HD,rtp://239.11.0.123:5140
安多卫视,rtp://239.11.0.124:5140
四川星空购物 HD,rtp://239.11.0.125:5140
金鹰卡通,rtp://239.11.0.127:5140
卡酷动画,rtp://239.11.0.129:5140
CCTV-1,rtp://239.11.0.130:5140
NewTV家庭剧场 HD,rtp://239.11.0.131:5140
NewTV精品记录 HD,rtp://239.11.0.132:5140
NewTV怡伴健康 HD,rtp://239.11.0.133:5140
NewTV精品体育 HD,rtp://239.11.0.134:5140
NewTV军事评论 HD,rtp://239.11.0.136:5140
NewTV农业致富 HD,rtp://239.11.0.137:5140
CGTN记录 HD,rtp://239.11.0.138:5140
CETV1HD,rtp://239.11.0.139:5140
山东教育,rtp://239.11.0.140:5140
NewTV古装剧场 HD,rtp://239.11.0.141:5140
NewTV动作电影 HD,rtp://239.11.0.142:5140
NewTV军旅剧场 HD,rtp://239.11.0.143:5140
NewTV惊悚悬疑 HD,rtp://239.11.0.144:5140
NewTV海外剧场 HD,rtp://239.11.0.145:5140
NewTV武搏世界 HD,rtp://239.11.0.146:5140
NewTV明星大片 HD,rtp://239.11.0.147:5140
NewTV爱情戏剧 HD,rtp://239.11.0.149:5140
NewTV精品大剧 HD,rtp://239.11.0.150:5140
NewTV中国功夫 HD,rtp://239.11.0.151:5140
NewTV金牌综艺 HD,rtp://239.11.0.152:5140
UTV影视精选,rtp://239.11.0.170:5140
UTV热播剧场,rtp://239.11.0.171:5140
UTV优视影院,rtp://239.11.0.172:5140
UTV经典影视,rtp://239.11.0.173:5140
UTV舞蹈视界,rtp://239.11.0.174:5140
魅力足球2.5-2-7,rtp://239.11.0.175:5140
UTV纪实天下,rtp://239.11.0.176:5140
UTV电影天地,rtp://239.11.0.177:5140
UTV经典剧场,rtp://239.11.0.178:5140
UTV家庭影院,rtp://239.11.0.179:5140
UTV第一电影,rtp://239.11.0.180:5140
UTV卡通动画,rtp://239.11.0.181:5140
UTV金色童年,rtp://239.11.0.182:5140
UTV文化教育,rtp://239.11.0.183:5140
UTV风云体育,rtp://239.11.0.184:5140
UTV钓鱼生活,rtp://239.11.0.185:5140
UTV炫酷动漫,rtp://239.11.0.186:5140
UTV优视教育,rtp://239.11.0.187:5140
UTV时尚音乐,rtp://239.11.0.188:5140
UTV第一剧场,rtp://239.11.0.189:5140
铁路电视 HD,rtp://239.11.0.190:5140
成铁电视 HD,rtp://239.11.0.191:5140
海南卫视,rtp://239.11.0.193:5140
