新乡公共 576,rtp://239.16.20.154:11540
焦作公共 8M1080,rtp://239.16.20.155:11550
SiTV法治天地 8M1080,rtp://239.16.20.156:11560
焦作教育 576,rtp://239.16.20.157:11570
百视通4K[3840*2160],rtp://239.16.20.158:11580
河南都市频道 8M1080,rtp://239.16.20.164:11640
河南民生频道 8M1080,rtp://239.16.20.165:11650
河南法治频道 8M1080,rtp://239.16.20.166:11660
河南电视剧频道 8M1080,rtp://239.16.20.167:11670
河南新闻频道 8M1080,rtp://239.16.20.168:11680
河南欢腾购物 8M1080,rtp://239.16.20.169:11690
河南公共频道 8M1080,rtp://239.16.20.170:11700
河南梨园频道 8M1080,rtp://239.16.20.171:11710
河南文物宝库 8M1080,rtp://239.16.20.172:11720
河南武术世界 8M1080,rtp://239.16.20.173:11730
济源-1 576,rtp://239.16.20.174:11740
濮阳新闻综合 576,rtp://239.16.20.175:11750
洛阳-2 科教频道 8M1080,rtp://239.16.20.177:11770
洛阳-3文旅频道  8M1080,rtp://239.16.20.178:11780
洛阳-1新闻综合 8M1080,rtp://239.16.20.179:11790
新县综合 576,rtp://239.16.20.183:11830
濮阳公共 576,rtp://239.16.20.184:11840
卫辉电视台 8M1080,rtp://239.16.20.191:11910
孟津综合 8M1080,rtp://239.16.20.192:11920
安阳科教 4M1080,rtp://239.16.20.193:11930
河南乡村频道 8M1080,rtp://239.16.20.195:11950
河南国际频道 8M1080,rtp://239.16.20.196:11960
河南调解剧场 4M1080,rtp://239.16.20.197:11970
通许综合 576,rtp://239.16.20.198:11980
河南卫视4K测试 6M1080,rtp://239.16.20.199:11990
山西优购物 576,rtp://239.16.20.200:12000
聚鲨环球精选 576,rtp://239.16.20.201:12010
江西风尚购物 576,rtp://239.16.20.202:12020
央广购物 576,rtp://239.16.20.203:12030
河南移动电视 8M1080,rtp://239.16.20.204:12040
淇县电视台 8M1080,rtp://239.16.20.205:12050
宜阳综合 8M1080,rtp://239.16.20.206:12060
汝阳综合频道 576,rtp://239.16.20.207:12070
原阳电视台 8M1080,rtp://239.16.20.208:12080
宝丰-1 8M1080,rtp://239.16.20.209:12090
延津电视台 8M1080,rtp://239.16.20.210:12100
江西陶瓷 8M1080,rtp://239.16.20.214:12140
体育赛事 8M1080,rtp://239.16.20.215:12150
大象新闻 8M1080,rtp://239.16.20.216:12160
大剧院 8M1080,rtp://239.16.20.217:12170
百视通4K测试[3840*2160],rtp://239.16.20.223:12230
百视通4K测试[3840*2160],rtp://239.16.20.225:12250
226[785*576],rtp://239.16.20.226:12260
舞钢电视台-1 576,rtp://239.16.20.227:12270
内黄综合 4M1080,rtp://239.16.20.228:12280
230[785*576],rtp://239.16.20.230:12300
河南欢腾购物 8M1440,rtp://239.16.20.231:12310
国学频道 8M1080,rtp://239.16.20.232:12320
河南欢腾购物 8M1440,rtp://239.16.20.233:12330
嵩县综合新闻 576,rtp://239.16.20.234:12340
郏县综合 4M1080,rtp://239.16.20.235:12350
义马电视台 8M1080,rtp://239.16.20.236:12360
南乐综合 576,rtp://239.16.20.237:12370
4K测试[3840*2160],rtp://239.16.20.238:12380
健康中原 8M1080,rtp://239.16.20.239:12390
卢氏综合 576,rtp://239.16.20.240:12400
平煤综合 576,rtp://239.16.20.241:12410
国学频道 8M1080,rtp://239.16.20.242:12420
大美河南 8M1080,rtp://239.16.20.243:12430
平煤安全环保 576,rtp://239.16.20.244:12440
百视通4K测试[3840*2160],rtp://239.16.20.249:12490
CGTN 576,rtp://239.16.20.252:12520
CCTV-3 8M1080,rtp://239.16.20.253:12530
百视通4K[3840*2160],rtp://239.16.20.254:12540
